Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,epochs,file,letter,listeners,lr,manual,max_epoch,max_time,model,momentum,params,source_flag,target_flag,wd,workload,workload_listener,DCGMI - DRAM Active,DCGMI - FP16 Active,DCGMI - FP32 Active,DCGMI - FP64 Active,DCGMI - GPU Utilization,DCGMI - GR Engine Active,DCGMI - Memory Copy Utilization,DCGMI - NVlink RX Bytes,DCGMI - NVlink TX Bytes,DCGMI - PCIE RX Bytes,DCGMI - PCIE RX Throughput,DCGMI - PCIE TX Bytes,DCGMI - PCIE TX Throughput,DCGMI - Power Usage,DCGMI - SM Occupancy,DCGMI - SN Active,DCGMI - Tensor Active,DCGMI - Total Energy Consumption,SMI - GPU Util,SMI - Mem Used,SMI - Mem Util,SMI - Performance State,SMI - Power Draw,SMI - Timestamp,TOP - CPU Utilization,TOP - Memory Utilization,TOP - Swap Memory GB,stopped_at,test_acc,test_auc,test_loss,val_acc,val_auc,val_loss
2024-09-03 10:03:25,22.9min,6e8d8914978d4eb1a32b5fc6a4f90c5e,(64 0) bemused-auk-429,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",organcmnist,pathmnist,0.0001,64,'',,,,,,,,,,,,,,,,,,,0.7,9227,0.06,0,196.02,1725351977.573,102,0.30000000000000004,42.548,199,0.14707520891364903,0.5388950200848125,2.255818884948204,0.06666666666666667,0.5494685304625775,2.3057665824890137
2024-09-03 09:39:57,23.3min,b913d97da20f41b6b9e571e66b49220e,(63 0) merciful-stoat-651,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",organcmnist,pathmnist,0.001,63,'',,,,,,,,,,,,,,,,,,,0,9227,0,0,58.1,1725350593.169,103,0.4,42.548,199,0.14707520891364903,0.5388969564096963,2.255814396101853,0.06666666666666667,0.5494685304625775,2.3057620525360107
2024-09-03 09:15:52,23.9min,469b6a98cda44a99a550f0ce81fc955c,(62 0) legendary-worm-563,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top,1e-05,False,5,172800,fine-tuning.py,0.9,"'""-""'",organcmnist,pathmnist,0.0001,62,'',,,,,,,,,,,,,,,,,,,0.8,9229,0.06,0,61.19,1725349184.344,101,0.30000000000000004,42.548,199,0.16253481894150418,0.581942338149932,2.13404814128218,0.20444444444444446,0.61395744097275,2.107856273651123
2024-09-03 08:51:47,23.9min,84c97b394d58464eb2ea63a01d2adc52,(61 0) lyrical-grouse-14,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top,1e-05,False,5,172800,fine-tuning.py,0.9,"'""-""'",organcmnist,pathmnist,0.001,61,'',,,,,,,,,,,,,,,,,,,0.93,9229,0.1,0,102.57,1725347739.051,101,0.30000000000000004,42.548,199,0.1626740947075209,0.58196775277078,2.1340002849184234,0.20444444444444446,0.61395744097275,2.1078171730041504
2024-09-03 08:36:18,15.3min,8b6eb788034142a3b9f63e2aa86963a4,(60 0) gregarious-mare-137,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",organcmnist,pathmnist,0.0001,60,'',,,,,,,,,,,,,,,,,,,0.75,5391,0.07,0,184.91,1725346294.574,103,0.4,42.548,155,0.12089136490250696,0.5553665879299495,2.2153963122451517,0.07111111111111111,0.5642456104434729,2.2544167041778564
2024-09-03 08:20:42,15.5min,5e035c69a3c64e3fafe7e623b9af3614,(59 0) wistful-grub-557,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",organcmnist,pathmnist,0.001,59,'',,,,,,,,,,,,,,,,,,,0.73,5391,0.06,0,186.94,1725345367.306,100,0.2,42.548,155,0.12089136490250696,0.5553691783182758,2.215389799653438,0.07111111111111111,0.5642456104434729,2.2544113397598267
2024-09-03 08:00:32,20.0min,50308edbb3f74c1e8277e2d25969f72b,(58 0) unequaled-pug-296,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top,1e-05,False,5,172800,fine-tuning.py,0.9,"'""-""'",organcmnist,pathmnist,1e-05,58,'',,,,,,,,,,,,,,,,,,,0.71,5395,0.09,0,169.34,1725344429.335,100,0.2,42.548,199,0.2576601671309192,0.6179644249130786,2.0616144443813122,0.30666666666666664,0.6634711718792181,2.028823137283325
2024-09-03 07:40:16,20.1min,eb1680bfd3c4406a933fbdb4210abef0,(57 0) skittish-lark-122,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top,1e-05,False,5,172800,fine-tuning.py,0.9,"'""-""'",organcmnist,pathmnist,0.0001,57,'',,,,,,,,,,,,,,,,,,,0.68,5395,0.09,0,163.65,1725343220.261,100,0.30000000000000004,42.548,199,0.2576601671309192,0.6179664530064992,2.0616116942020883,0.30666666666666664,0.66349420486245,2.0288214683532715
2024-09-03 07:20:21,19.8min,e8ce45453d51496c936daf13388697cb,(56 0) grandiose-ram-901,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top,1e-05,False,5,172800,fine-tuning.py,0.9,"'""-""'",organcmnist,pathmnist,0.001,56,'',,,,,,,,,,,,,,,,,,,0.79,5395,0.07,0,184.66,1725342004.655,102,0.4,42.548,199,0.2576601671309192,0.6180011036408066,2.061556343446698,0.30666666666666664,0.663574158597391,2.02877938747406
2024-09-03 06:56:35,23.6min,f031c84a4802438abbe814c11b9b6a8a,(55 0) puzzled-sow-127,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top,0.0001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organcmnist,pathmnist,0.0,55,'',,,,,,,,,,,,,,,,,,,0.81,9227,0.06,0,62.58,1725340808.623,101,0.30000000000000004,42.548,199,0.16350974930362117,0.5825416118337097,2.1314884465316246,0.20444444444444446,0.6150322304381577,2.10599684715271
2024-09-03 06:32:44,23.7min,9b3b9380bd34480ab0915b4a45a6964a,(54 0) carefree-stoat-235,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top,0.0001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organcmnist,pathmnist,1e-06,54,'',,,,,,,,,,,,,,,,,,,0.69,9227,0.09,0,150.07,1725339383.241,102,0.4,42.548,199,0.16350974930362117,0.5825415870496283,2.131488454752955,0.20444444444444446,0.6150322304381577,2.10599684715271
2024-09-03 06:08:55,23.7min,84ef672ce2cd4fd7a4490a89e0a377cf,(53 0) adorable-mouse-737,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top,0.0001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organcmnist,pathmnist,1e-05,53,'',,,,,,,,,,,,,,,,,,,0.65,9227,0.03,0,59.22,1725337952.478,100,0.2,42.548,199,0.16350974930362117,0.5825415804183746,2.131488331433,0.20444444444444446,0.6150322304381577,2.105996608734131
2024-09-03 05:44:57,23.8min,18eda2ba85f941a1acfed07b6eef1f11,(52 0) calm-asp-289,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top,0.0001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organcmnist,pathmnist,0.0001,52,'',,,,,,,,,,,,,,,,,,,0.93,9227,0.1,0,97.34,1725336522.641,101,0.30000000000000004,42.548,199,0.16350974930362117,0.5825424424756229,2.1314872873240502,0.20444444444444446,0.6150322304381577,2.1059956550598145
