Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,epochs,file,letter,listeners,lr,manual,max_epoch,max_time,model,momentum,params,source_flag,target_flag,wd,workload,workload_listener,SMI - GPU Util,SMI - Mem Used,SMI - Mem Util,SMI - Performance State,SMI - Power Draw,SMI - Timestamp,TOP - CPU Utilization,TOP - Memory Utilization,TOP - Swap Memory GB,stopped_at,test_acc,test_auc,test_loss,val_acc,val_auc,val_loss
2024-08-09 12:26:28,12.2min,785cbd610af14d929f75e336e0ebfa21,(120 3_C) fun-toad-680,PROJECT,/home/doju/medmnist_organc,doju,FINISHED,128,200,fine-tuning.py,3_C,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,'-',pneumoniamnist,organcmnist,0.0,120,'',0.95,16147,0.12,0,177.72,1723199918.555,110.1,1.6000000000000003,44.316,50,0.08909444985394352,0.4178281153975884,2.56478973535391,0.06909090909090909,0.43602222574820737,2.596571683883667
2024-08-09 12:26:23,35.9min,41792b5754a5452a8ff23a4d8e6ce2cf,(120 3_B) rogue-cod-561,PROJECT,/home/doju/medmnist_organc,doju,FINISHED,128,200,fine-tuning.py,3_B,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,'-',organsmnist,organcmnist,0.0,120,'',0.68,10767,0.06,0,157.08,1723201332.875,135.7,0.7999999999999999,44.316,195,0.11270691333982473,0.5565807874170136,2.4647372502547045,0.06545454545454546,0.6001611383378935,2.6293342113494873
2024-08-09 12:26:16,36.8min,75aa7ae66abd43349457abd0bc46c9d1,(120 3_A) dazzling-wasp-542,PROJECT,/home/doju/medmnist_organc,doju,FINISHED,128,200,fine-tuning.py,3_A,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,'-',organamnist,organcmnist,0.0,120,'',0.78,5387,0.08,0,172.41,1723201382.54,136.7,0.8999999999999999,44.316,199,0.0949367088607595,0.5301553617006376,2.5340770427997295,0.05090909090909091,0.5664048225545243,2.6392085552215576
2024-08-09 12:26:10,53.9min,8564ab90f4d24b998dbecb97f5b415a1,(120 2_D) auspicious-skink-322,PROJECT,/home/doju/medmnist_organc,doju,FINISHED,128,200,fine-tuning.py,2_D,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,'-',tissuemnist,organcmnist,0.0,120,'',1,16149,0.07,0,170.27,1723202401.844,131.7,0.6,44.316,199,0.04308666017526777,0.5547113738229505,2.4719685737903303,0.08363636363636363,0.5801583763192217,2.376218795776367
2024-08-09 12:26:05,39.8min,92b3894f4b444add950d1c56f6e8f466,(120 2_C) upbeat-lark-139,PROJECT,/home/doju/medmnist_organc,doju,FINISHED,128,200,fine-tuning.py,2_C,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,'-',chestmnist,organcmnist,0.0,120,'',1,21527,0.08,0,166.51,1723201551.408,145.6,0.7999999999999999,44.316,132,0.0866601752677702,0.503312579530859,2.5115505915421705,0.12363636363636364,0.49290079740759635,2.4933640162150064
2024-08-09 12:26:00,54.2min,4f36e31943794f52a83b1f81d915b658,(120 2_B) legendary-hen-618,PROJECT,/home/doju/medmnist_organc,doju,FINISHED,128,200,fine-tuning.py,2_B,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,'-',bloodmnist,organcmnist,0.0,120,'',1,10769,0.09,0,152.47,1723202407.835,128.7,0.30000000000000004,44.316,199,0.10248296007789678,0.5325462406542639,2.4481598854064943,0.13818181818181818,0.5514792344052185,2.3922692139943442
2024-08-09 12:25:53,54.5min,00a9acc86518492e84a11422ecab4d3d,(120 2_A) fearless-sheep-422,PROJECT,/home/doju/medmnist_organc,doju,FINISHED,128,200,fine-tuning.py,2_A,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,'-',breastmnist,organcmnist,0.0,120,'',0.63,5387,0.08,0,109.96,1723202418.998,135.6,0.2,44.316,199,0.17234664070107109,0.694902711857112,2.2279614411867583,0.1709090909090909,0.7118938114289541,2.259877840677897
2024-08-09 12:25:48,15.8min,d077e3c8959b43ecb019a32120743d07,(120 1_D) indecisive-hound-994,PROJECT,/home/doju/medmnist_organc,doju,FINISHED,128,200,fine-tuning.py,1_D,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,'-',retinamnist,organcmnist,0.0,120,'',0.99,21529,0.11,0,99.54,1723200095.612,129.6,1.4000000000000001,44.316,50,0.22553554040895812,0.577012306851685,2.3201030254364015,0.18181818181818182,0.618130326862631,2.4506995677948
2024-08-09 12:25:43,17.1min,0f7b524f5111472aa3b301c6a540fdbc,(120 1_C) intelligent-vole-275,PROJECT,/home/doju/medmnist_organc,doju,FINISHED,128,200,fine-tuning.py,1_C,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,'-',dermamnist,organcmnist,0.0,120,'',0.9,10767,0.13,0,182.32,1723200166.015,134.8,1.3,44.316,57,0.08179162609542356,0.3696534956937145,2.5668041155888486,0.04727272727272727,0.37405940191569054,2.635941823323568
2024-08-09 12:25:38,34.7min,a197cd7731f04aafbbe562b1a62c1d02,(120 1_B) receptive-newt-44,PROJECT,/home/doju/medmnist_organc,doju,FINISHED,128,200,fine-tuning.py,1_B,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,'-',octmnist,organcmnist,0.0,120,'',0.73,5387,0.06,0,174.86,1723201217.701,138.5,1.4000000000000001,44.316,199,0.08227848101265822,0.5617232978780625,2.4363721737494837,0.13818181818181818,0.5725338080801013,2.410909334818522
