,source,dermamnist
0,bloodmnist,-0.9367776335864532
1,breastmnist,-1.0453450939294056
2,octmnist,-1.0582864585056295
3,organamnist,-1.0467881205264844
4,organcmnist,-1.0432248777312478
5,organsmnist,-1.0598074733922944
6,pathmnist,-1.0721302057802764
7,pneumoniamnist,-1.0695814605432656
8,retinamnist,-0.9947990195998014
9,tissuemnist,-1.05933625874518
