,source,dermamnist
0,bloodmnist,-1.046558831032422
1,breastmnist,-1.114896587896668
2,octmnist,-1.1378870840045574
3,organamnist,-1.1309029018174908
4,organcmnist,-1.123680875558244
5,organsmnist,-1.1325498033663122
6,pathmnist,-1.1508839423841946
7,pneumoniamnist,-1.1447779168146377
8,retinamnist,-1.0587722920621492
9,tissuemnist,-1.1404594445606115
