,source,dermamnist
0,bloodmnist,-1.0246958488577875
1,breastmnist,-1.1000226784855438
2,octmnist,-1.1141691897085382
3,organamnist,-1.1089063680754863
4,organcmnist,-1.1030848035939644
5,organsmnist,-1.1056198013292768
6,pathmnist,-1.1233704406545473
7,pneumoniamnist,-1.117333013665257
8,retinamnist,-1.0233317901238415
9,tissuemnist,-1.1086647209570313
