,source,dermamnist
0,bloodmnist,-1.0257060719196907
1,breastmnist,-1.1034110892439162
2,octmnist,-1.1157741794301663
3,organamnist,-1.1090698054469783
4,organcmnist,-1.107647864757108
5,organsmnist,-1.1083032168580023
6,pathmnist,-1.1250084078719795
7,pneumoniamnist,-1.1201384377750132
8,retinamnist,-1.0272055067982486
9,tissuemnist,-1.1156948667153146
