,source,organamnist
0,bloodmnist,-2.1730247165893757
1,breastmnist,-2.186817055111217
2,octmnist,-2.2034837978296227
3,organamnist,-0.11641363760998798
4,organcmnist,-0.9346051538992561
5,organsmnist,-1.4725266142984408
6,pathmnist,-2.135835422478207
7,pneumoniamnist,-2.1942742836192433
8,retinamnist,-1.9071332379561632
9,dermamnist,-1.9773496574152623
