,source,organamnist
0,bloodmnist,-2.1675664716302383
1,breastmnist,-2.2180379929213996
2,octmnist,-2.2107467421078093
3,organamnist,-0.13066072214628618
4,organcmnist,-1.0036730959763076
5,organsmnist,-1.5445376792122152
6,pathmnist,-2.131188511011687
7,pneumoniamnist,-2.241584716885102
8,retinamnist,-1.9513305149226932
9,dermamnist,-1.9823689392720945
