,source,organamnist
0,bloodmnist,-2.164424219231602
1,breastmnist,-2.222715341003579
2,octmnist,-2.2199136786973264
3,organamnist,-0.14364287960882885
4,organcmnist,-1.0002154771411589
5,organsmnist,-1.5456015255546556
6,pathmnist,-2.1339696241572956
7,pneumoniamnist,-2.2409128412653834
8,retinamnist,-1.9466005180846595
9,dermamnist,-1.9868036095917596
