,source,organamnist
0,bloodmnist,-2.1667605249375512
1,breastmnist,-2.2224217899943177
2,octmnist,-2.219168868652578
3,organamnist,-0.14383262805907385
4,organcmnist,-1.0050678970596978
5,organsmnist,-1.5501327315191515
6,pathmnist,-2.1342258307925954
7,pneumoniamnist,-2.2416039978800577
8,retinamnist,-1.9489989842678808
9,dermamnist,-1.986869637020269
