,source,organamnist
0,bloodmnist,-2.1623977992455483
1,breastmnist,-2.2195729876990193
2,octmnist,-2.2139528655635394
3,organamnist,-0.1425996861427726
4,organcmnist,-0.9754898745762905
5,organsmnist,-1.545189145102141
6,pathmnist,-2.1402649276406334
7,pneumoniamnist,-2.242950368351747
8,retinamnist,-1.9657958985087116
9,dermamnist,-1.9904910808509284
