,source,organamnist
0,bloodmnist,-2.169279850181457
1,breastmnist,-2.214666321757118
2,octmnist,-2.2094734382308485
3,organamnist,-0.13297142030046064
4,organcmnist,-0.9845359404780649
5,organsmnist,-1.5313588307291457
6,pathmnist,-2.134008263768864
7,pneumoniamnist,-2.2354749509095617
8,retinamnist,-1.9606857624065248
9,dermamnist,-1.9881233961940046
