,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,densenet,0.5715961014315121,0.7524234234234239,0.5831518266606569,0.6929653291625354,0.7044686395054909,0.630618763608346,0.5692479633723941,0.7492896893013161,0.8106471306471306,0.4354200840604739,0.3694068250168654
1,efficientnet,0.556977299998723,0.6806129215611975,0.5786123275387623,0.5994815260695247,0.626776587668391,0.5566674217692015,0.5021104218410631,0.6484979470207861,0.7627700365043043,0.435658640383165,0.33903432597634575
2,googlenet,0.6252198572154615,0.6926489177489178,0.5846611286778796,0.6834488940756265,0.7331130255075002,0.6796150629006018,0.5823092721713354,0.7625948016683711,0.8393296438855262,0.4227869506950293,0.36299503693878366
3,mnasnet,0.6372119525663384,0.723693629850178,0.5932137349700183,0.7223412180402741,0.7298710374230463,0.6339901069183597,0.5768187000922792,0.749739114490999,0.8942242703533025,0.45425425666497515,0.3636490916498639
4,mobilenet,0.5894768114708006,0.6868469550301058,0.6000783425404945,0.6683554124958007,0.7226789265710343,0.6220002932615772,0.5631731154648755,0.6863420843556135,0.8508890463538432,0.4329671778205677,0.36642839224647683
5,vgg,0.5624033350901136,0.6730835699419307,0.578832212940793,0.6320612238781561,0.7200417629004423,0.6591441515025731,0.5680490326345197,0.74051801187607,0.8517376775271512,0.4485137663293129,0.3493013820084454
6,convnext,0.6303669568729817,0.6753431507862543,0.5851754766303603,0.6433579193186264,0.7210650025160343,0.6050138802515835,0.5676785100675257,0.7930073875246674,0.837646434115084,0.4504318009554115,0.3712055578076857
7,shufflenet,0.6889546633222723,0.7501052449965493,0.6239884552210063,0.6544155971155523,0.7712264278794737,0.6628780383785119,0.5874594928961077,0.7026350014521267,0.8587903895274585,0.4439573740648214,0.3790457290381507
8,resnet,0.544132927913918,0.7044833144987014,0.5807008671340753,0.6749994346594712,0.7624190940622689,0.6492748446622592,0.561904513059571,0.7299514976268346,0.8425394088669951,0.42835534958101595,0.35320723881024035
