,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,densenet,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999978,1.0,1.0,1.0,1.0
1,efficientnet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,googlenet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,mnasnet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,mobilenet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,vgg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,convnext,1.0,1.0,1.0,1.0,0.9968936690366627,0.9854003814124702,0.9862974603753115,1.0,1.0,1.0,0.9987499999280166
7,shufflenet,0.8108070960369905,0.8321246233803794,0.6765261383752599,0.7754087157134458,0.8011365658064665,0.7856741110906084,0.6825790299110457,0.761337822501913,0.9238899228059246,0.5634175206247527,0.4433579133332584
8,resnet,0.9943329984468356,1.0,0.9569418248659978,1.0,0.9638886110683754,0.9471011666438823,0.9070614802179511,0.9770165944149608,1.0,1.0,0.8617570269828759
