,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,densenet,25.27303971767344,3.948656011860939,5.220816760398402,12.67841826853572,23.653680939430824,20.044705643347033,15.884182567897764,25.48873453436541,7.709343697441224,6.5641783821710025,6.414817235899573
1,efficientnet,21.811834740871866,3.4464605581459606,5.087413891995595,10.562988300931025,22.21006599736972,17.231662809334047,14.152548281203387,23.716777375823643,8.066682435632364,6.5628471791791405,6.293458891264213
2,googlenet,24.25956346664381,3.319957824539213,5.1929256821937475,12.117347363350707,23.38178881478935,19.125181300328855,16.213000383618592,24.9623027311214,8.106036755227658,5.686293066193588,7.035580698237595
3,mnasnet,24.669312023524697,4.137299677063839,4.955728550100843,14.797812613320222,24.66493844413213,19.49473709449696,16.730235509956625,24.746757407959468,8.131639987460463,6.636821189030721,7.302949239114674
4,mobilenet,23.43428772939372,4.706457903274779,7.5703148755423815,11.891487995045694,23.579852733957104,19.226412469738577,15.451598885247755,24.65029784669943,8.189853766331588,6.829057918872071,6.634231367618834
5,vgg,20.718748523267692,4.190329066959684,5.069058200101924,12.92809903853867,22.84342534574621,19.22039264286631,14.627094263278911,23.789454354225487,9.46176255946033,6.7641355522502975,6.303651350002084
6,convnext,24.935658343281812,4.887365627034073,4.55088034360252,12.582062337160052,24.589591734300008,19.443518524829887,16.168441479612465,26.456652289602335,8.931011743056171,7.15944177532611,7.01867208381322
7,shufflenet,25.560163897874133,5.033637184329891,6.091235699937838,12.91587764718351,25.022535060402006,20.433332190670736,16.83239786502962,26.09225366733033,8.549235853288064,6.407432942790492,6.7350344163464095
8,resnet,21.66602256362518,3.9387462600116745,4.76363904058681,13.06967085104722,24.763719595586096,19.85036686665882,17.408290868977446,24.38546916544288,8.011262918147056,5.617273608704294,5.9780330081216
