,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,densenet,0.88725,0.8310000000000001,0.7314285714285714,0.8415,0.876,0.8554545454545455,0.7923636363636364,0.9042222222222223,0.932,0.6284000000000001,0.59575
1,efficientnet,0.8857499999999999,0.8590000000000001,0.7577142857142857,0.8785,0.8567272727272727,0.8121818181818181,0.778909090909091,0.9006666666666667,0.925,0.686,0.5965
2,googlenet,0.9177500000000001,0.8710000000000001,0.7777142857142857,0.882,0.9163636363636364,0.8743636363636363,0.8332727272727273,0.9177777777777778,0.951,0.7172000000000001,0.64825
3,mnasnet,0.9350000000000002,0.8980000000000001,0.77,0.8860000000000001,0.9134545454545454,0.8818181818181818,0.8378181818181817,0.9293333333333335,0.951,0.6932,0.6455
4,mobilenet,0.95875,0.9009999999999999,0.786,0.9135,0.9292727272727274,0.9132727272727273,0.8507272727272727,0.9284444444444445,0.97,0.6756,0.66375
5,vgg,0.8107500000000001,0.8140000000000001,0.7174285714285714,0.7995,0.8489090909090908,0.8245454545454546,0.7421818181818182,0.8795555555555555,0.919,0.6227999999999999,0.586
6,convnext,0.9015000000000001,0.867,0.7482857142857142,0.861,0.9069090909090909,0.8572727272727273,0.8245454545454546,0.9355555555555556,0.9369999999999998,0.6804000000000001,0.6387499999999999
7,shufflenet,0.92625,0.9490000000000001,0.765142857142857,0.9320000000000002,0.9503636363636364,0.9090909090909091,0.8398181818181818,0.9464444444444444,0.9869999999999999,0.6816,0.6184999999999999
8,resnet,0.85725,0.8630000000000001,0.7342857142857143,0.871,0.8985454545454545,0.8545454545454545,0.8009090909090909,0.8977777777777778,0.929,0.6684,0.635
