,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,densenet,1.7670642576314612,0.8141030013966232,0.9679988677558027,1.6282258529895988,1.6990859460020542,1.49253220556175,1.6827008456725157,1.5529538467638713,1.0182685000144471,1.312241102935476,1.41881923603752
1,efficientnet,1.4149182722390774,1.1058256410440024,1.3885848598928945,0.5743438595162221,1.0,1.0564718398926578,0.8692004538850517,1.3578692470222946,1.0265243429704005,1.3327841293833569,1.4219244684887795
2,googlenet,1.499081131796006,1.1863927043978364,0.6504880790422282,1.3988268900479635,1.6894018260954986,1.5843588125517307,1.667656133862456,1.8211987818124094,1.4065323064349577,0.4848562916805137,1.7949147228527143
3,mnasnet,1.9880671989204728,1.1919163360074996,1.2984433094909602,2.0,1.8920478475577134,1.7579777852717242,1.816835088266332,1.4192173869990974,1.873317175016176,1.492712752073378,2.033724739679337
4,mobilenet,1.9632113579525863,0.9484301720543774,1.7448738276601816,1.4764603742572888,1.9946317192594527,1.7528949760067962,1.5120560090327235,1.3955928594387237,1.5357240117970008,1.3456964513063738,2.3194946867892314
5,vgg,1.474813767362261,1.4752773607460685,1.017025681504321,1.2915552652730422,2.0203472546288346,1.6378550044552123,1.738684847995016,1.7295516295286233,1.6997129985860309,1.1322972183713933,1.5786959887924275
6,convnext,1.8441267045618883,0.9965863325550876,1.2298705192133976,1.6521405883321683,1.9441178698781332,2.053723487635688,1.9903594482708646,2.0,1.3179249385643013,1.4886091434762407,1.951887955166558
7,shufflenet,2.0,2.0,2.0,1.624909611570649,1.4579971949263513,0.9645834619966259,1.0320065006990295,1.3200360205103385,2.0,2.0,1.0
8,resnet,1.0633270221296933,1.2719892342984913,0.5218578290878814,1.5259845065684956,1.896857758591426,1.6563718279629536,1.546811914224181,0.9447051250297689,1.7185981430018922,1.0614557290666977,1.381135815764723
