,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,densenet,-1.6385861870309635,-0.5211926718290428,-1.032413356558008,-1.011881805077926,-1.6016050856931525,-1.746124021425059,-1.674117177247934,-1.5117117008128385,-0.44933112559862914,-1.2869347041374701,-1.6755928910615898
1,efficientnet,-1.779950313226915,-0.5132250788788092,-1.0314342453636585,-0.997611943476356,-1.6919535009050608,-1.769296725395784,-1.697485893135809,-1.666393084330593,-0.471948814782239,-1.3174188409636218,-1.6625296193053185
2,googlenet,-1.7405917148051406,-0.5279834496171569,-1.0126172688139166,-0.984700173741324,-1.739077102204209,-1.8285973265401063,-1.7606737478608876,-1.4384857517870748,-0.48680540923266136,-1.3489872126047722,-1.7182796422097046
3,mnasnet,-1.6824154876323933,-0.5196082086495332,-1.0495152908454157,-0.8733115208334055,-1.587909624347822,-1.7817963116305584,-1.6652569139392799,-1.6137636799006991,-0.45675659584551376,-1.3040183075788185,-1.709213712873443
4,mobilenet,-1.56762568665439,-0.5169776013280935,-0.9862412898470466,-0.9270832604578279,-1.6460606242896123,-1.8212536188233381,-1.7369232323745225,-1.5658021724889362,-0.43304495833276474,-1.2818274428551102,-1.6330542626122446
5,vgg,-1.7141737935106351,-0.5345827904577871,-1.0562712968515275,-0.9518443437842669,-1.7276369456306735,-1.7713286057673836,-1.7193396865658517,-1.6769347485167616,-0.4794568615500725,-1.3162964645394324,-1.717810706523287
6,convnext,-1.889868085361874,-0.5354054607227622,-1.0670166571777346,-1.0295830313042111,-1.823098595699728,-1.960691631065163,-1.833659631594537,-1.7281422489946356,-0.4973013237878387,-1.3540658179218212,-1.7143316629491938
7,shufflenet,-1.5675542964470524,-0.5200230900105036,-0.9914769644229768,-0.9763772930584076,-1.5460487506695022,-1.5632160239468915,-1.6278406779590688,-1.5736613149027419,-0.38066992227908714,-1.3235963722775006,-1.700230392306918
8,resnet,-1.7887410864359783,-0.5372303524879963,-1.0352118634515888,-1.0030918567279317,-1.6479241137311862,-1.775624149932393,-1.7147037466227195,-1.5503476554344353,-0.46059872164795856,-1.3124582365721988,-1.7179643067943646
