,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,imagenet,1.7998420346116086,1.8093303576683064,2.231829164634942,2.3578454717326425,1.234875515102488,1.1457115146389898,1.208331325545594,2.0,1.9441214905824478,3.0,2.989701184868866
1,radimagenet,1.8640786601463613,2.8169738742124997,1.4710610677934453,1.9040056688606466,1.3175147294876741,1.0995998975236754,1.262460910200463,1.8826168174588036,1.80943748216502,1.5639667370367811,2.974500500943805
2,medmnist,1.759770049529791,1.1127503811232846,1.0617616481892422,1.4090296425174675,2.095519527189643,2.0,2.2416735061585777,1.9706120793977984,1.010297189732058,1.171715046628531,2.924825437304268
3,bloodmnist,,2.0539531391842547,2.4843627544844145,0.43690185641677765,1.4006778893265939,1.4426629922103547,1.6309610814456468,1.9784016489451597,1.8748360783039075,1.5099097613129868,2.6741838432072678
4,breastmnist,1.8923696135453594,,1.2071999398268085,1.5349052090674156,1.2617138573149915,1.1425665599359076,1.2946500508037875,1.1413185803044945,1.757919188595935,1.3438818294829833,2.585872493558508
5,chestmnist,1.3043579203854367,0.833601246788536,0.8013611343019302,1.024912693749463,1.3160053059475594,1.2871530677364795,1.3934779149024716,0.9163891776952646,1.7100666774202895,0.8108968437879291,2.4698634865117706
6,dermamnist,1.899746913707773,0.8373873523308526,,0.2735356122968954,1.4704221045386126,1.5230418517736763,1.3712729634465946,1.6888014895932406,1.9129211660658991,0.9077805833516627,2.6701350876718033
7,octmnist,0.9003900308460377,0.5850231610655962,0.31201240283941634,,0.9094384195818541,1.0,0.8199797580974036,0.41468070508522703,1.0,1.167481504603376,2.460295866114121
8,organamnist,2.2311117346004186,2.5232884366536066,0.44432095745747835,1.144666739058132,,1.7206267490851257,1.5244220815228073,1.4529539957659063,2.0148384584839203,0.0,2.2280126075587403
9,organcmnist,2.0064637046891676,1.0992699446661984,0.6055044460658408,0.8238073792810583,1.7443452368028693,,1.8282971824552303,1.551951162688129,2.0437679015856673,0.7261707653366376,2.362648725988031
10,organsmnist,1.861429795823531,2.308650547855369,0.4502833896866476,1.5671174766823837,1.4721273169558204,1.5546953426022767,,1.7128677104315098,1.9867783397066585,0.511995355917471,2.3825708671605432
11,pathmnist,1.9461838354310859,1.6117025259255482,1.4469550426629152,0.11064768822237224,1.3621301609901133,1.3334258730904898,1.0749389581997932,,1.8828611393527661,1.1055936844333607,0.0
12,pneumoniamnist,1.6780500232152837,1.4458161090835022,0.8574839243050697,0.7947742708024544,1.2293654960972042,1.3182271222420445,1.2587905410468776,1.1566502584433431,,0.8613952337085278,2.4895834773505396
13,retinamnist,1.9527312281314981,1.742618357140314,1.2295685590450829,0.7420500669878164,1.4931764725660344,1.445254254858324,1.5004868867595322,1.8442153711404332,2.235043427736988,,2.737934437294138
14,tissuemnist,2.1278892436366985,2.16831528958572,1.367616250334947,1.5094475777181287,1.4067214859384025,1.6487453668698513,1.6933029643248076,1.4983073954232045,2.56478621150416,1.1924542699926652,
