,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,densenet,99.90226589083665,90.14202172096908,87.70248219589419,98.17946666666668,99.04662799045187,98.63657040202104,95.51031838307964,99.02404766680876,98.72781065088758,87.81468314492056,84.33950907027288
1,efficientnet,99.92447693405823,88.59649122807018,91.14508926020977,99.02640000000001,99.29003084852648,98.55697698528289,95.60159138351256,98.73855237219132,97.936664475126,87.22240299846102,84.2128745215774
2,googlenet,99.7657354406418,88.17878028404344,88.78420020896341,96.43733333333331,99.15125461681203,98.39177127147872,95.64303251705032,99.3739577418331,98.93710278325663,83.42299508554392,84.21489428166763
3,mnasnet,99.53357634364772,85.86048454469508,77.0913000302658,93.78840000000001,95.88205573150208,94.12545889229648,90.06104590877709,98.78415194942248,89.20721016874863,80.85428720851854,78.3050495448961
4,mobilenet,99.81546933062602,88.7218045112782,89.44208047773036,94.63913333333333,98.86249676523951,98.73704741935065,94.3903476229538,99.30134940121717,97.90159982467675,84.20607507489785,83.69267405043628
5,vgg,99.68863122405996,86.34085213032581,90.30190901194476,98.03386666666668,99.3010174617062,98.92671941748657,96.43526533203952,98.8774831964046,98.42537804076265,87.72866679655505,85.08635237921227
6,convnext,99.91159634633357,91.58312447786132,92.93308201132608,98.86093333333332,99.26651265680913,98.87033517969553,96.37817344395704,99.46874867439338,97.96515450361603,87.55322779371058,85.2951618603028
7,shufflenet,99.74441582777031,84.81620718462824,89.15456929533224,97.17093333333332,98.94427718195485,98.6519143028027,96.02310960551456,99.36913834387212,98.04733727810651,80.52249327865255,83.6532227332627
8,resnet,99.84533762023933,88.51294903926484,89.46454007292657,92.58393333333332,99.04092401281136,98.08796536724718,95.58214521841137,98.96552816370277,98.34538680692526,86.40816277234676,84.48806030585988
