,source,tissuemnist
0,bloodmnist,-1.8038937829187895
1,breastmnist,-1.791019958715161
2,octmnist,-1.7816115744671384
3,organamnist,-1.7717704081260681
4,organcmnist,-1.7788557545383237
5,organsmnist,-1.7653003620510095
6,pathmnist,-1.8038937833348343
7,pneumoniamnist,-1.7918636675277058
8,retinamnist,-1.7705391512018016
9,dermamnist,-1.7914078906736635
