,source,tissuemnist
0,bloodmnist,-1.803759815934181
1,breastmnist,-1.7911520388683484
2,octmnist,-1.781301448993518
3,organamnist,-1.7718399588272389
4,organcmnist,-1.7791442521333694
5,organsmnist,-1.7636891966706025
6,pathmnist,-1.8037598098345706
7,pneumoniamnist,-1.7914933263580761
8,retinamnist,-1.7714116419046702
9,dermamnist,-1.79077862149574
