,source,tissuemnist
0,bloodmnist,-1.8029997750833635
1,breastmnist,-1.7964506721844118
2,octmnist,-1.7794201270699141
3,organamnist,-1.7677125450776994
4,organcmnist,-1.779340679152914
5,organsmnist,-1.757645921768002
6,pathmnist,-1.8029997690423651
7,pneumoniamnist,-1.7944960319260677
8,retinamnist,-1.7694033780224336
9,dermamnist,-1.7894171182636633
