,source,tissuemnist
0,bloodmnist,-1.8037245646078608
1,breastmnist,-1.791353668784572
2,octmnist,-1.7800177465681295
3,organamnist,-1.7732928888857682
4,organcmnist,-1.78013282823313
5,organsmnist,-1.7634922329822267
6,pathmnist,-1.8037245636160946
7,pneumoniamnist,-1.79293103711395
8,retinamnist,-1.772061266326106
9,dermamnist,-1.7907330612310115
